,word,score,stem
63,avirulento,-0.875,avirulent
64,adaptable,0.25,adapt
65,reconciliar,0.5,reconcili
66,acomodar,0.5,acomod
67,formación,-0.625,formacion
68,adictivo,-0.625,adict
69,aditivo,-0.375,adit
70,adicionable,0.5,adicion
71,sustractivo,0.25,sustract
72,ablativo,0.625,ablat
73,reductora,-0.625,reductor
74,dirigido,0.125,dirig
75,carencia,-0.625,carenci
76,engomado,-0.25,engom
77,autosellado,-0.5,autosell
78,adhesivo,-0.5,adhes
79,sustantivo,0.125,sustant
80,adoptable,0.75,adopt
81,decorada,0.375,decor
82,adornada,0.375,adorn
83,lentejuelas,-0.375,lentejuel
84,joyas,-0.375,joy
85,gemas,-0.375,gem
86,beady,-0.375,beady
87,bedaubed,-0.5,bedaub
88,monóculo,-0.25,monocul
89,buttony,-0.125,buttony
90,crestado,-0.25,crest
91,fringed,-0.125,fring
92,inflamado,-0.125,inflam
93,incrustado,-0.125,incrust
94,montado,-0.25,mont
95,tachonado,-0.375,tachon
96,tapestried,-0.125,tapestri
97,borlas,-0.125,borl
98,copetudo,-0.125,copetud
99,diestro,0.0,diestr
100,maladroit,-0.125,maladroit
101,torpeza,-0.625,torpez
102,descoordinada,-0.25,descoordin
103,beneficioso,0.625,benefici
104,preferencial,-0.125,preferencial
105,desventajosa,0.5,desventaj
106,aventurero,0.25,aventurer
107,atrevido,0.25,atrev
108,recomendable,0.625,recomend
109,aconsejado,0.5,aconsej
110,anaerobiotico,-0.375,anaerobiot
111,anaerobio,-0.375,anaerobi
112,aeróbico,0.5,aerob
113,anaeróbico,-0.25,anaerob
114,estética,0.625,estet
115,pintura,0.25,pintur
116,inestético,0.0,inestet
117,impresionado,0.0,impresion
118,maravillado,-0.5,maravill
119,forzadas,-0.5,forz
120,constreñidas,-0.5,constreñ
121,amanerado,-0.375,amaner
122,asentimiento,0.25,asent
123,aceptando,0.25,acept
124,despreciativo,-0.75,despreci
125,acrofóbico,-0.75,acrofob
126,conmocionado,0.25,conmocion
127,consternado,0.25,constern
128,agorafóbico,-0.75,agorafob
129,alarmado,-0.625,alarm
130,algofóbico,-0.875,algofob
131,hangdog,-0.125,hangdog
132,horrorizado,-0.25,horroriz
133,cazado,0.5,caz
134,acuafóbico,-0.75,acuafob
135,misofóbico,-0.75,misofob
136,triskaidekaphobic,-0.625,triskaidekaphobic
137,labios,0.125,labi
138,xenófobo,-0.75,xenofob
139,batallador,0.5,batall
140,militante,0.375,milit
141,competitiva,0.375,competit
142,pugnaz,0.25,pugnaz
143,scrappy,0.25,scrappy
144,truculento,-0.25,truculent
145,excitada,-0.25,excit
146,histérica,-0.5,hister
147,hirviendo,0.0,hirv
148,vejatorio,-0.5,vejatori
149,plaguicida,-0.5,plaguic
150,pesticida,-0.5,pestic
151,ortigas,-0.5,ortig
152,estresante,-0.625,estres
153,volar,-0.5,vol
154,avisa,0.5,avis
155,insomnio,-0.25,insomni
156,asignable,0.125,asign
157,inasignable,-0.375,inasign
158,exsanguíneo,-0.5,exsanguine
159,exanimado,-0.5,exanim
160,ecrine,0.25,ecrin
161,subartesiano,-0.125,subartesian
162,precocial,0.25,precocial
163,egocéntrico,0.375,egocentr
164,oracular,0.125,oracul
165,multivaluado,0.375,multivalu
166,monosémico,0.125,monosem
167,aspirante,0.25,aspir
168,manque,0.25,manqu
169,ametropic,-0.25,ametropic
170,exiguo,-0.5,exigu
171,hardscrabble,-0.375,hardscrabbl
172,anabólico,0.5,anabol
173,katabólico,-0.75,katabol
174,estigmático,-0.25,estigmat
175,anastigmático,-0.25,anastigmat
176,analítico,0.125,analit
177,inflexión,0.0,inflexion
178,derivativo,-0.25,deriv
179,provocado,-0.5,provoc
180,enloquecido,0.0,enloquec
181,enfurecido,0.0,enfurec
182,outraged,-0.75,outrag
183,indignant,-0.75,indignant
184,incensed,-0.75,incens
185,iracundo,-0.25,iracund
186,resentido,-0.875,resent
187,desamargado,-0.75,desamarg
188,inanimado,-0.75,inanim
189,revivido,0.375,reviv
190,wan,-0.25,wan
191,anónima,-0.5,anonim
192,postmortem,-0.125,postmortem
193,postmortal,-0.125,postmortal
194,anticipatorio,0.25,anticipatori
195,preexistente,-0.375,preexistent
196,decurvado,-0.125,decurv
197,consecutivos,-0.375,consecut
198,espalda,-0.375,espald
199,precedido,0.375,preced
200,anteparto,-0.125,antepart
201,prenatal,-0.125,prenatal
202,posparto,-0.125,pospart
203,postnatal,-0.125,postnatal
204,anterogrado,-0.125,anterogr
205,apelable,0.5,apel
206,inapelable,-0.5,inapel
207,inabordable,-0.375,inabord
208,pat,0.5,pat
209,impropio,-0.875,impropi
210,pagadero,0.0,pagader
211,cobrable,0.0,cobrabl
212,apropiado,0.125,apropi
213,malaproposiciones,-0.5,malaproposicion
214,pórtico,0.375,portic
215,anfistil,0.375,anfistil
216,anfisprótilo,0.375,anfisprotil
217,pseudopróstola,0.375,pseudoprostol
218,próstola,0.375,prostol
219,columna,0.125,column
220,columnar,0.125,column
221,columnata,0.125,columnat
222,pillado,0.125,pill
223,astylar,-0.25,astylar
224,arenoso,-0.125,aren
225,arcilloso,-0.125,arcill
226,armado,-0.125,armad
227,setoso,-0.375,setos
228,setaceo,-0.375,setace
229,cerdoso,-0.375,cerdos
230,erizado,-0.375,eriz
231,briqueta,-0.375,briquet
232,barbacoa,-0.375,barbaco
233,así,0.0,asi
234,garras,-0.25,garr
235,desarmado,-0.625,desarm
236,maquinando,0.125,maquin
237,diseñando,0.125,diseñ
238,manipulador,0.25,manipul
239,pawky,-0.125,pawky
240,plateada,0.25,plat
241,fluida,0.25,flu
242,elocuente,0.25,elocuent
243,inarticulado,-0.625,inarticul
244,afásico,-0.75,afas
245,afónico,-0.75,afon
246,mudo,-0.25,mud
247,hablando,0.5,habl
248,caminante,-0.5,camin
249,articulado,-0.625,articul
250,vergüenza,-0.75,vergüenz
251,deshonrado,-0.5,deshonr
252,perrito,0.25,perrit
253,autoafirmante,0.375,autoafirm
254,asertivo,0.375,asert
255,asociativo,-0.625,asoci
256,asociable,0.625,asoci
257,adjunto,0.0,adjunt
258,prometida,0.25,promet
259,colocado,0.125,coloc
260,acechado,-0.125,acech
261,pedunculado,-0.125,peduncul
262,sésil,-0.625,sesil
263,acoplable,0.5,acopl
264,bondable,0.5,bondabl
265,bindable,0.5,bindabl
266,desmontable,0.25,desmont
267,intento,0.125,intent
268,cautivo,0.125,cautiv
269,absorbido,0.125,absorb
270,advertente,0.5,advertent
271,abstraído,0.25,abstraid
272,retrato,-0.25,retrat
273,distraído,-0.25,distraid
274,recogida,0.0,recog
275,bostezo,-0.125,bostez
276,oscilación,-0.125,oscil
277,somnolencia,-0.125,somnolent
278,cautivante,0.5,cautiv
279,embrujador,0.5,embruj
280,carismático,0.5,carismat
281,lindo,0.5,lind
282,dinky,0.5,dinky
283,ganar,0.625,gan
284,tomar,0.625,tom
285,buscar,0.625,busc
286,hechizante,0.375,hechiz
287,hipnótico,0.375,hipnot
288,fotogénica,0.5,fotogen
289,preposesión,0.5,preposesion
290,casero,0.125,caser
291,subfusc,-0.125,subfusc
292,apelando,0.25,apel
293,referible,-0.25,refer
294,debido,-0.25,deb
295,atribuible,-0.25,atribu
296,audible,0.375,audibl
297,inaudible,-0.375,inaud
298,respiró,0.125,respir
299,infrasónico,0.375,infrason
300,ultrasónico,0.375,ultrason
301,supersónico,0.375,superson
302,auspicioso,0.625,auspici
303,esperanzador,-0.375,esperanz
304,propicio,0.5,propici
305,atronadora,-0.75,atron
306,glorificado,0.0,glorific
307,canonizado,0.0,canoniz
308,inconstitucional,-0.75,inconstitucional
309,autoinducida,-0.625,autoinduc
310,semiautomático,0.375,semiautomat
311,disponible,0.375,dispon
312,adquirible,0.625,adquir
313,direccionable,0.625,direccion
314,asequible,0.625,asequ
315,obtenible,0.625,obten
316,prestablecido,0.25,prestablec
317,inaccesible,-0.625,inacces
318,insomne,-0.625,insomn
319,somnoliento,0.375,somnolient
320,estíptica,-0.25,estipt
321,hemostática,-0.25,hemostat
322,incógnita,-0.25,incognit
323,witting,0.375,witting
324,alarmante,-0.5,alarm
325,consternante,-0.5,constern
326,horrendo,-0.625,horrend
327,ominoso,-0.75,omin
328,minador,-0.75,minador
329,minoso,-0.75,minos
330,amenazante,-0.75,amenaz
331,pesadilla,-0.375,pesadill
332,escalofríos,-0.75,escalofri
333,petrificando,-0.25,petrific
334,estupefaciente,0.125,estupefacient
335,aterrador,-0.625,aterr
336,desalarma,0.0,desalarm
337,tranquilizador,0.5,tranquiliz
338,asegurar,0.5,asegur
339,consolar,0.0,consol
340,dirigiendo,0.375,dirig
341,tapa,-0.125,tap
342,espina,-0.125,espin
343,retral,-0.5,retral
344,regreso,0.0,regres
345,reverso,-0.125,revers
346,blate,0.25,blat
347,adelante,0.0,adel
348,presuntuoso,-0.5,presuntu
349,desbalanceado,-0.5,desbalanc
350,ferned,-0.5,fern
351,ferny,0.25,ferny
352,sedgelike,-0.25,sedgelik
353,rushlike,-0.25,rushlik
354,sedgy,-0.25,sedgy
355,depilado,-0.25,depil
356,glabrescente,-0.25,glabrescent
357,glabro,-0.25,glabr
358,canescente,-0.125,canescent
359,seroso,-0.375,seros
360,puberulento,-0.375,puberulent
361,lanato,-0.125,lanat
362,pappose,-0.25,pappos
363,piloso,-0.25,pilos
364,pelo,-0.75,pel
365,cabello,0.375,cabell
366,bella,0.75,bell
367,bonnie,0.75,bonni
368,disimulado,0.5,disimul
369,bienaventurado,0.625,bienaventur
370,pulchritudinous,0.375,pulchritudinous
371,escénico,0.25,escen
372,desfigurado,-0.125,desfigur
373,scrofulous,-0.5,scrofulous
374,antiestético,-0.625,antiestet
375,belli,-0.375,belli
376,desbandado,-0.75,desband
377,banda,0.125,band
378,maléfico,0.125,malef
379,malicioso,-0.375,malici
380,malévolo,-0.875,malevol
381,gatuna,-0.625,gatun
382,gatúbela,-0.625,gatubel
383,veneno,-0.625,venen
384,amablemente,0.5,amabl
385,maligno,-0.375,malign
386,canceroso,-0.5,cancer
387,óptimo,0.5,optim
388,record,0.375,record
389,enmendado,0.5,enmend
390,empeoró,0.11200000000000004,empeor
391,meliorative,-0.125,meliorativ
392,amelioratory,-0.125,amelioratory
393,ameliorative,-0.125,ameliorativ
394,ameliorating,-0.125,ameliorating
395,correctivo,-0.25,correct
396,empeorando,-0.25,empeor
397,anónimo,-0.375,anonim
398,cinco,-0.5,cinc
399,palmatalmente,0.125,palmatal
400,bimodal,0.125,bimodal
401,nórdico,-0.125,nordic
402,morena,-0.25,moren
403,pustulado,-0.375,pustul
404,espinillas,-0.375,espinill
405,granos,-0.375,gran
406,acné,-0.375,acne
407,flyblown,0.5,flyblown
408,cicatrizado,-0.625,cicatriz
409,inoxidable,0.625,inoxid
410,homicida,0.5,homic
411,matanza,-0.625,matanz
412,sanguinaria,-0.625,sanguinari
413,sangrienta,-0.625,sangrient
414,carnicera,-0.625,carnicer
415,internecina,-0.5,internecin
416,intrépido,0.25,intrep
417,envalentonado,0.375,envalenton
418,temerario,-0.625,temerari
419,nervio,0.0,nervi
420,saltando,0.5,salt
421,sobrepasando,0.5,sobrepas
422,trepidante,-0.125,trepid
423,desatada,-0.125,desat
424,desabrochada,-0.125,desabroch
425,entrelazado,0.125,entrelaz
426,rootbound,0.25,rootbound
427,desenredado,-0.125,desenred
428,brassbound,0.125,brassbound
429,sordera,0.25,sorder
430,non,-0.625,non
431,burgués,0.125,burgues
432,galán,0.125,galan
433,animoso,-0.25,anim
434,jugador,-0.25,jugador
435,impertérrito,0.5,imperterrit
436,valeroso,0.625,valer
437,caitiff,-0.5,caitiff
438,recreo,-0.25,recre
439,cobarde,-0.25,cobard
440,ruin,-0.375,ruin
441,poltroon,0.625,poltroon
442,pusilánime,-0.375,pusilanim
443,aliento,-0.125,alient
444,disneo,-0.75,disne
445,disneico,-0.75,disneic
446,disneal,-0.75,disneal
447,asfixiante,-0.25,asfixi
448,candescente,0.125,candescent
449,iluminación,0.125,ilumin
450,luminiscente,0.125,luminiscent
451,fosforescente,-0.125,fosforescent
452,aceróntico,-0.125,aceront
453,aceroniano,-0.125,aceronian
454,afoto,-0.125,afot
455,caliginosa,-0.25,caligin
456,cimmerio,0.25,cimmeri
457,crepuscular,-0.5,crepuscul
458,crepúsculo,-0.25,crepuscul
459,oscuridad,-0.25,oscur
460,semidark,0.0,semidark
461,tenebroso,-0.125,tenebr
462,tenebrífico,-0.125,tenebrif
463,umbrageous,-0.375,umbrageous
464,shady,-0.375,shady
465,shadowy,-0.375,shadowy
466,shadowed,-0.375,shadow
467,puenteable,0.375,puenteabl
468,insalvable,-0.125,insalv
469,nitid,0.375,nit
470,gleaming,0.375,gleaming
471,agleam,0.375,agleam
472,luminoso,0.25,lumin
473,lucente,0.25,lucent
474,corderito,0.25,corderit
475,refulgente,0.125,refulgent
476,efulgente,0.125,efulgent
477,cegador,0.5,cegador
478,brillo,0.25,brill
479,reluciente,0.5,relucient
480,noctilucente,0.375,noctilucent
481,satinado,0.125,satin
482,shimmery,0.375,shimmery
483,titilando,0.375,titil
484,mate,-0.25,mat
485,homofóbico,-0.125,homofob
486,ictericia,-0.375,icterici
487,católico,0.625,catol
488,latitudinario,-0.375,latitudinari
489,librepensador,-0.375,librepens
490,estrecha,0.0,estrech
491,dogmática,0.25,dogmat
492,antiliberal,0.0,antiliberal
493,opinante,0.0,opin
494,opinado,0.0,opin
495,punteado,-0.125,punt
496,parando,0.0,par
497,inhalado,-0.375,inhal
498,enterrado,-0.375,enterr
499,comprometido,0.125,compromet
500,lackadaisical,-0.375,lackadaisical
501,bonelike,-0.25,bonelik
502,deshuesado,-0.625,deshues
503,cuello,-0.625,cuell
504,capitalista,0.25,capital
505,cacofónico,-0.625,cacofon
506,rasposo,-0.625,raspos
507,ronco,-0.375,ronc
508,jarring,-0.625,jarring
509,golden,-0.25,gold
510,plateado,-0.25,plat
511,calculable,0.5,calcul
512,incalculable,-0.5,incalcul
513,calma,0.375,calm
514,emergente,-0.5,emergent
515,soplador,-0.375,soplador
516,choppy,-0.25,choppy
517,racheado,-0.125,rach
518,squally,-0.625,squally
519,thundery,-0.5,thundery
520,alcanforado,-0.25,alcanfor
521,desatendida,-0.125,desatend
522,descuidada,-0.125,descuid
523,concienzudo,-0.125,concienzud
524,detallado,0.5,detall
525,minuto,0.25,minut
526,protección,0.375,proteccion
527,estudioso,0.125,estudi
528,pasajera,-0.625,pasajer
529,zoofágico,-0.125,zoofag
530,carnívoro,-0.125,carnivor
531,omnívoro,-0.125,omnivor
532,alfombrado,-0.375,alfombr
533,esculpido,0.375,esculp
534,acataléctico,0.125,acatalect
535,catalizador,-0.125,cataliz
536,caudal,-0.25,caudal
537,acaudado,-0.25,acaud
538,acaudalado,-0.25,acaudal
539,anual,-0.625,anual
540,tallo,0.25,tall
541,acaulescente,0.25,acaulescent
542,causal,-0.5,causal
543,contributivo,0.0,contribut
544,conducente,0.0,conducent
545,errhine,-0.5,errhin
546,inducible,0.375,induc
547,motivación,0.125,motiv
548,motor,-0.375,motor
549,motivo,-0.375,motiv
550,precipitándose,-0.125,precipit
551,esternutatorio,-0.375,esternutatori
552,esternutativo,-0.375,esternut
553,chary,0.25,chary
554,cagy,0.25,cagy
555,cagey,0.25,cagey
556,fabian,0.25,fabi
557,restringido,0.625,restring
558,vigilado,0.625,vigil
559,incauto,0.0,incaut
560,acelular,-0.5,acelul
561,porífero,-0.625,porifer
562,bifocal,0.125,bifocal
563,nuclear,0.125,nucl
564,fringy,0.125,fringy
565,bordeando,0.125,bord
566,rodeando,0.125,rod
567,unificando,-0.125,unific
568,centrípeta,-0.125,centripet
569,integrador,-0.125,integr
570,consolidativo,-0.125,consolid
571,centrífugo,-0.25,centrifug
572,tan,0.25,tan
573,ambivalente,-0.625,ambivalent
574,convencido,0.125,convenc
575,tranquilizado,0.625,tranquiliz
576,difidente,0.0,difident
577,acreditado,0.375,acredit
578,inevitable,-0.5,inevit
579,ineluctable,-0.5,ineluct
580,evitable,0.625,evit
581,prevenible,0.625,preven
582,astaticado,-0.375,astatic
583,distorsionable,0.5,distorsion
584,veloz,-0.25,veloz
585,mercurial,-0.25,mercurial
586,confirmado,-0.25,confirm
587,fijado,-0.75,fij
588,grabado,0.0,grab
589,tallado,0.0,tall
590,incomutable,-0.5,incomut
591,alterable,0.5,alter
592,inalterable,-0.75,inalter
593,final,-0.625,final
594,modificable,0.5,modific
595,parafrastico,-0.25,parafrast
596,revisado,0.375,revis
597,intemporal,0.125,intemporal
598,cambiado,0.25,cambi
599,desnaturalizado,0.0,desnaturaliz
600,intercambiado,-0.125,intercambi
601,transformado,0.125,transform
602,ionizado,0.375,ioniz
603,sindicado,0.25,sindic
604,sindicalizado,0.25,sindicaliz
605,mutable,0.625,mutabl
606,sintomático,0.125,sintomat
607,carga,0.25,carg
608,electropositiva,0.25,electroposit
609,electroneutral,-0.25,electroneutral
610,filantrópico,0.5,filantrop
611,eleemosinario,0.5,eleemosinari
612,benéfico,0.5,benef
613,continente,0.375,continent
614,célibe,0.375,celib
615,virgen,0.25,virg
616,vestal,0.25,vestal
617,zorra,-0.25,zorr
618,licencioso,0.25,licenci
619,sonriente,0.125,sonrient
620,boyante,0.25,boyant
621,soleado,0.5,sol
622,deprimente,-0.5,depriment
623,achlamidiana,-0.625,achlamidian
624,acondriático,-0.625,acondriat
625,cromático,0.25,cromat
626,amatista,-0.125,amat
627,castaño,-0.125,castañ
628,verdoso,-0.125,verdos
629,violeta,-0.25,violet
630,lila,-0.25,lil
631,olive,-0.125,oliv
632,pavo,0.125,pav
633,lavanda,-0.5,lavand
634,polvo,-0.125,polv
635,rose,-0.375,ros
636,rosa,0.5,ros
637,scarlet,-0.375,scarlet
638,escarlata,-0.375,escarlat
639,tanish,-0.125,tanish
640,ultramarino,-0.125,ultramarin
641,acromático,-0.125,acromat
642,negruzco,-0.125,negruzc
643,hollín,-0.125,hollin
644,alquitrán,-0.125,alquitran
645,chorro,-0.125,chorr
646,hueless,-0.125,hueless
647,pizarra,-0.75,pizarr
648,blaco,0.125,blac
649,enrojecido,-0.25,enrojec
650,ruborizado,-0.25,ruboriz
651,carmesí,-0.25,carmes
652,policromía,0.5,policrom
653,policromo,0.5,policrom
654,policroma,0.5,policrom
655,tricolor,0.125,tricolor
656,tricromo,0.125,tricrom
657,tricromático,0.125,tricromat
658,acromatoso,-0.375,acromat
659,fluorescente,0.375,fluorescent
660,incruento,-0.125,incruent
661,ceniciento,-0.125,cenicient
662,gris,-0.25,gris
663,etiolada,-0.25,etiol
664,blanqueada,-0.25,blanqu
665,pasteloso,0.0,pastel
666,colorido,0.125,color
667,bravo,0.0,brav
668,jazzístico,0.25,jazzist
669,incoloro,-0.25,incolor
670,cristiano,0.375,cristian
671,cristo,0.5,crist
672,incivilizado,0.25,inciviliz
673,prealfabeto,0.125,prealfabet
674,analizado,0.125,analiz
675,limpiable,0.625,limpiabl
676,limpiamente,-0.375,limpi
677,prístina,-0.125,pristin
678,fregado,-0.125,freg
679,augean,-0.556,aug
680,arrastrada,-0.875,arrastr
681,desaliñada,-0.875,desaliñ
682,ensuciado,-0.875,ensuci
683,telaraña,-0.375,telarañ
684,feculento,-0.25,feculent
685,volado,-0.75,vol
686,macular,-0.5,macul
687,mugriento,-0.875,mugrient
688,ratty,-0.625,ratty
689,smudgy,-0.75,smudgy
690,inobjetable,0.375,inobjet
691,ribald,-0.5,ribald
692,bawdy,-0.5,bawdy
693,malhablado,-0.375,malhabl
694,escabroso,-0.625,escabr
695,escatológico,-0.5,escatolog
696,radiactivo,-0.125,radiact
697,kosher,-0.125,kosh
698,cosher,-0.125,cosh
699,tref,-0.75,tref
700,terefah,-0.75,terefah
701,nonkosher,-0.75,nonkosh
702,perspicuo,0.5,perspicu
703,pelúcido,0.5,peluc
704,hialoide,0.375,hialoid
705,hialina,0.375,hialin
706,límpido,0.375,limp
707,niebla,0.25,niebl
708,esmerilado,0.25,esmeril
709,glaucous,0.25,glaucous
710,blanquecino,0.25,blanquecin
711,lechoso,0.25,lechos
712,semiopaco,0.125,semiopac
713,radiopaco,-0.625,radiopac
714,radio,-0.625,radi
715,adípico,0.125,adip
716,cerebro,0.125,cerebr
717,abofeteado,-0.25,abofet
718,clemente,-0.625,clement
719,balsámico,1.0,balsam
720,inclemente,-0.75,inclement
721,cecina,-0.125,cecin
722,ganso,-0.125,gans
723,duncish,0.375,duncish
724,duncical,0.375,duncical
725,dolce,-0.375,dolc
726,lenta,-0.25,lent
727,obtusa,-0.25,obtus
728,tonta,-0.25,tont
729,aburrida,-0.25,aburr
730,densa,-0.25,dens
731,abultado,0.25,abult
732,allá,0.125,alla
733,ambiente,0.375,ambient
734,caminando,0.5,camin
735,remoto,0.125,remot
736,lejos,0.25,lej
737,boon,0.625,boon
738,amiguito,0.375,amiguit
739,primo,-0.125,prim
740,habilitada,-0.125,habilit
741,atuendo,-0.125,atuend
742,pantalones,-0.125,pantalon
743,caparisonado,-0.25,caparison
744,soterrado,-0.125,soterr
745,dighted,-0.125,dight
746,vestidos,-0.5,vest
747,habitado,-0.125,habit
748,enaguas,-0.5,enagu
749,togado,-0.125,tog
750,resultó,0.125,result
751,esmoquin,-0.25,esmoquin
752,uniformados,-0.125,uniform
753,vestida,-0.25,vest
754,pelado,0.625,pel
755,desnuda,0.125,desnud
756,in,-0.25,in
757,apenas,-0.25,apen
758,off,0.0,off
759,seminuda,0.125,seminud
760,brumoso,-0.5,brumos
761,fogbound,-0.75,fogbound
762,nebular,-0.125,nebul
763,miasmal,-0.375,miasmal
764,incoherente,-0.125,incoherent
765,desarticulado,-0.125,desarticul
766,fuzzy,0.25,fuzzy
767,tip,0.25,tip
768,agrupado,0.25,agrup
769,aglomerado,0.25,aglomer
770,masa,0.125,mas
771,agregado,0.125,agreg
772,difusivo,-0.125,difus
773,dispersivo,-0.125,dispers
774,difusor,-0.125,difusor
775,burked,-0.25,burk
776,publicable,0.625,public
777,según,0.125,segun
778,notificable,-0.125,notific
779,reportable,0.125,report
780,combinatorio,-0.375,combinatori
781,combinable,-0.375,combin
782,combustible,0.5,combust
783,quemable,0.625,quemabl
784,inflamable,-0.5,inflam
785,ignífugo,-0.125,ignifug
786,retardante,-0.125,retard
787,encendido,0.25,encend
788,confortable,-0.75,confort
789,calmante,-0.375,calmant
790,consolado,-0.375,consol
791,conmensurable,0.0,conmensur
792,desproporcionado,-0.25,desproporcion
793,mercantil,0.375,mercantil
794,cielo,0.125,ciel
795,comisionado,0.25,comision
796,promedio,0.25,promedi
797,ganada,0.375,gan
798,habitual,0.375,habitual
799,acostumbrada,0.375,acostumbr
800,hidrofóbico,-0.625,hidrofob
801,oleofílico,0.125,oleofil
802,oleofóbico,-0.375,oleofob
803,individualista,-0.375,individual
804,respectivamente,0.25,respect
805,comunicativo,-0.25,comunic
806,anecdótico,0.25,anecdot
807,expresivo,0.25,expres
808,heráldico,-0.375,herald
809,narración,-0.125,narracion
810,franca,-0.125,franc
811,yarn,0.125,yarn
812,incomunicado,-0.625,incomunic
813,inexpresivo,-0.25,inexpres
814,cambiante,-0.125,cambiant
815,silty,-0.375,silty
816,inigualable,0.375,inigual
817,nutriente,0.375,nutrient
818,chocando,-0.5,choc
819,mutuamente,-0.625,mutu
820,mezclable,0.375,mezclabl
821,miscible,0.375,miscibl
822,compatible,0.375,compat
823,inmiscible,-0.25,inmisc
824,combativo,-0.25,combat
825,agonístico,-0.25,agonist
826,rival,0.375,rival
827,emuloso,0.375,emul
828,quejoso,-0.75,quejos
829,llorón,-0.75,lloron
830,incompresible,-0.625,incompres
831,integral,0.5,integral
832,livelong,-0.125,livelong
833,alícuota,0.0,alicuot
834,derecho,0.625,derech
835,realizado,0.125,realiz
836,completado,0.125,complet
837,exhaustivo,0.875,exhaust
838,sonido,0.625,son
839,panóptico,0.375,panopt
840,extenso,0.375,extens
841,abarcador,0.375,abarc
842,enciclopédico,0.375,encicloped
843,plenario,0.125,plenari
844,sereno,-0.375,seren
845,calmado,-0.375,calm
846,recogido,0.0,recog
847,descompuesto,-0.25,descompuest
848,apenada,-0.375,apen
849,avergonzada,-0.375,avergonz
850,ruborizada,-0.375,ruboriz
851,sonrojada,-0.375,sonroj
852,desconcertada,-0.125,desconcert
853,desomboblada,-0.125,desombobl
854,accesible,0.625,acces
855,aprehensible,0.25,aprehens
856,enigmático,-0.375,enigmat
857,encastrado,0.0,encastr
858,umbilicar,-0.125,umbilic
859,giboso,-0.375,gibos
860,helmet,0.125,helmet
861,planoconvexa,-0.125,planoconvex
862,bunchy,0.25,bunchy
863,thickset,0.125,thickset
864,dispersos,-0.5,dispers
865,rezagado,-0.25,rezag
866,acéntrico,-0.625,acentr
867,miedo,0.0,mied
868,embrujado,0.125,embruj
869,solícito,-0.625,solicit
870,blase,-0.375,blas
871,blithe,-0.375,blith
872,epigramático,0.375,epigramat
873,apotemático,0.375,apotemat
874,aforístico,0.375,aforist
875,sucinto,0.375,sucint
876,compendio,0.375,compendi
877,compacto,0.375,compact
878,lacónico,0.125,lacon
879,elíptico,-0.125,elipt
880,conciso,-0.125,concis
881,prolijo,0.0,prolij
882,difuso,-0.25,difus
883,verbal,-0.5,verbal
884,nisi,-0.625,nisi
885,cumplido,0.375,cumpl
886,subordinación,-0.125,subordin
887,concurrente,-0.25,concurrent
888,concordante,-0.25,concord
889,consensual,0.0,consensual
890,unánime,0.125,unanim
891,consentido,0.125,consent
892,faccioso,-0.5,faccios
893,divisivo,-0.5,divis
894,contraído,-0.25,contraid
895,contráctil,0.625,contractil
896,provisorio,-0.625,provisori
897,provisional,-0.625,provisional
898,investido,0.125,invest
899,conductivo,0.5,conduct
900,semiconductor,0.5,semiconductor
901,claustrofóbico,-0.125,claustrofob
902,confinado,-0.25,confin
