,0
9122,"de ala ancha,"
9123,como un abanico
9124,estrecho
9125,"estrechamiento, constricción, constricción,"
9126,angosto
9127,microhyla
9128,"delgado, delgado,"
9129,estrecho
9130,"afilado, afilado, estrechamiento,"
9131,ancho
9132,es cómodo
9133,estrecho
9134,"marginal, desnudo,"
9135,"manejable,"
9136,"inmanejable, inmanejable,"
9137,"torpe, torpe, torpe, torpe,"
9138,"engorroso, engorroso,"
9139,peluca
9140,sin peluca
9141,dispuesto (hallazgo)
9142,Consentimiento
9143,"preparado, inclinado, dispuesto, dispuesto,"
9144,"feliz, contento,"
9145,listo
9146,estar dispuesto y ser capaz
9147,reacio
9148,"reacio, loth, repugnante,"
9149,"involuntario, involuntario,"
9150,"en forma de ala, aliforme, alary, alar,"
9151,de alas delgadas
9152,"sin alas,"
9153,"aptero, apteral,"
9154,no volador
9155,"sabio,"
9156,"omnisciente, omnisciente,"
9157,"sapiente, sagaz, perspicaz,"
9158,"de búho,"
9159,"sapiencial,"
9160,salvia
9161,tonto
9162,"ridículo, ridículo, disparatado, ridículo, ridículo, idiota, irrisorio, loco, absurdo,"
9163,"vacío, insensato, estúpido, fatuo, estúpido,"
9164,"chiflado, chiflado, chiflado, tonto, cursi, tonto, chiflado, chiflado,"
9165,enamorado
9166,"loco, loco, descabellado,"
9167,"equivocado, mal concebido,"
9168,"espantoso, despistado, rattlepated, rattlebrained,"
9169,imprudente
9170,"enselvado,"
9171,"cepillado, bosky,"
9172,"brambly, braky,"
9173,Bosque
9174,velo doble
9175,"juncoso,"
9176,"desaliñado, escarpado,"
9177,"formando matorrales,"
9178,"entramado,"
9179,"sin arbolado, sin árboles,"
9180,sin bosques
9181,no leñoso
9182,herbáceo
9183,"blando, pulposo,"
9184,material inconsciente;
9185,"mundano, mercenario, materialista,"
9186,"terrestre, mundano,"
9187,no mundano
9188,"ermitaño, ermitaño, ermitaño, ermitaño, anacoreta,"
9189,"sobrenatural, espiritual,"
9190,no mercenario
9191,Trenzada
9192,sin tejer
9193,tornillo sinfin
9194,atrito
9195,abollado
9196,"aplaudido,"
9197,"Apesadumbrado, deteriorado, mordido por pulgas, abandonado, decrépito, chirriante,"
9198,orejas de perro
9199,Raído
9200,"sarnoso, sarnoso,"
9201,"polilla, apolillada,"
9202,harapiento
9203,"desgastado, raddled,"
9204,"cutre, cutre, andrajoso, apolillado,"
9205,"cutre, desaliñado,"
9206,"andrajoso, andrajoso,"
9207,"pulgar,"
9208,"gusanos, carcomidos, vermiculados,"
9209,"desgastado por la intemperie, curtido por la intemperie,"
9210,bien gastado
9211,Nuevo
9212,sin meteorizar
9213,digno
9214,"loable, loable, loable, loable,"
9215,loable
9216,CUM LAUDE
9217,vale la pena merecer
9218,"modelo, ejemplar,"
9219,Magna cum Laude
9220,"meritorio, meritorio,"
9221,"digno de mención, notable,"
9222,"citable,"
9223,Sagradas
9224,Summa cum laude
9225,"valorado, precioso,"
9226,"digno, valioso,"
9227,que vale la pena
9228,indigno
9229,"indigno, indigno,"
9230,inmerecido
9231,"sin mérito,"
9232,xerico
9233,hídrico
9234,"higrofítico,"
9235,mésico
9236,"mesofítico,"
9237,Azonales
9238,"azónico,"
9239,sin telarañas
9240,"reentrante, reentrante,"
9241,Anticuerpos anti Rh negativos
9242,categoremático
9243,"sincategoremático,"
9244,Pro Vida
9245,"no bautizado, no bautizado,"
9246,"benigno,"
9247,"malignos,"
9248,"no invertible,"
9249,inmunocompetente
9250,Inmunodeficiencia
9251,de espuela larga
9252,legumbres de vaina mondadas
9253,de cubierta dura
9254,"sin cáscara, sin cáscara,"
9255,mandíbula cuadrada
9256,piel suave
9257,cernido
9258,"sin flores, sin flores,"
9259,"portador de esporas,"
9260,"abático, abásico,"
9261,abiente
9262,aclorhídrico
9263,acidótico
9264,Erupción acneiforme
9265,"actinomicótico,"
9266,"aculeated, aculeate,"
9267,"adactylous,"
9268,anteridial
9269,"alexifármaco,"
9270,Agentes Antivirales
9271,"agonal,"
9272,"agranulocítico,"
9273,"alabastrina, alabastro,"
9274,"albinótico, albinista, albínico, albinal,"
9275,algoide
9276,"algolagnico,"
9277,alcalótico
9278,Alantoides
9279,Alérgica
9280,alométrico
9281,"alotropical, alotrópico,"
9282,"amalgamativo,"
9283,"amaurótico,"
9284,"ameboide, ameboide,"
9285,"de amatista,"
9286,"amniótico, amniótico, amnico,"
9287,amorista
9288,"amigdalina,"
9289,"anaclítico,"
9290,"anagógico, anagógico,"
9291,Anarquismo
9292,"anasarcous,"
9293,"anencefálico, anencefálico,"
9294,"anginoso, anginosa, anginoso,"
9295,anglófilo
9296,anglofóbico
9297,"serpentino,"
9298,anictérico
9299,"anisometrópico,"
9300,"anoxémico,"
9301,anóxico
9302,Anserina
9303,"antitumoral, antitumoral, antineoplásico, anticancerígeno,"
9304,"anúrico, anurético,"
9305,ansiolítico
9306,Afaquia
9307,Afasia
9308,Apocalíptico
9309,"apoplectoide, apoplectiforme,"
9310,"apotegmático, apotegmático,"
9311,Apalaches
9312,"arcaizante,"
9313,"arcángel, arcangélico,"
9314,"archiducal,"
9315,"archiepiscopal, archepiscopal,"
9316,ascensional
9317,"asteró,"
9318,"estolonífero,"
9319,"astomatal,"
9320,programa registrado
9321,asinérgico
9322,"atáxico, atáctico,"
9323,Atonía
9324,auditivo
9325,"autárquico, autárquico, autárquico,"
9326,heterótrofo
9327,Avunculado
9328,Galardonado
9329,babuino
9330,"baya, baccate,"
9331,"bacteriolítico,"
9332,bacteriostático
9333,"bacteroide, bacteroide, bacterioide, bacterioide,"
9334,Ballet
9335,basidial
9336,"basidiosporoso,"
9337,"bauxítico,"
9338,"conductista, conductista, conductista, conductista,"
9339,"benedictiva, benedictiva,"
9340,afianzado
9341,benévolo
9342,"bibliomaníaco,"
9343,bicromatado
9344,Boratos
9345,braquioso
9346,bracteal
9347,"bracted, bracteate,"
9348,sin borde
9349,"brobdingnagian,"
9350,Bulimia
9351,como una rebaba
9352,"butiráceo,"
9353,butírico
9354,"cacodemonic, cacodaemonic,"
9355,mojones
9356,"calcáreo, calcáreo,"
9357,calcico
9358,calicó
9359,capsular
9360,carbocíclico
9361,carbolatado
9362,"carcinógenas,"
9363,carposporoso
9364,"carúnculo, caruncular,"
9365,"catabólico, catabólico,"
9366,"catachrestical, catachrestic,"
9367,catkinate
9368,"chaffy, como paja,"
9369,"ferruginoso,"
9370,benéficos
9371,quelato
9372,"quelado, quelado,"
9373,alegre
9374,Maternidad
9375,alegre
9376,Quitina
9377,Wilsonianismo
9378,cloze
9379,coccal
9380,Funciona con monedas
9381,Collar
9382,colegiado
9383,"configuracional,"
9384,Consonante
9385,constitucional
9386,inalámbrico/sin hilos
9387,"cormos, cormose,"
9388,Panícula
9389,Enlace covalente
9390,croupy
9391,crustáceo
9392,criogénico
9393,"ctenoide, en forma de peine,"
9394,"como una natilla,"
9395,cíclico
9396,a entregar en la Oficina Central RACE
9397,"despótico, despótico,"
9398,"diagonalizable,"
9399,"sudorífico, diaforético,"
9400,Charles Dickens
9401,modo
9402,numérico
9403,"dimorfo, dimórfico,"
9404,Omnidireccional
9405,direccional
9406,Ditirambo
9407,DUMPY
9408,"disgénico, cacogénico,"
9409,eugenésico
9410,ectópico (calificador)
9411,Fuerza electromotriz
9412,"elegíaco,"
9413,Elementales
9414,"emulador,"
9415,epilítico
9416,equinos
9417,"eruptivo,"
9418,eritematoso
9419,"saliente,"
9420,Existencialismo
9421,"fermentable,"
9422,"febril, febril,"
9423,fibrilosa
9424,fibrinoso
9425,No ficción
9426,Filaria
9427,"escamoso, escamoso,"
9428,"de pedernal,"
9429,florido
9430,"foliado, foliado,"
9431,"forcipate,"
9432,"formalizado, formalista, formalizado,"
9433,Formularios Farmacéuticos como Asunto
9434,cuatro manos
9435,preocupado
9436,desanimado
9437,Fricción
9438,olor a ajo
9439,"gemífero,"
9440,granulífero
9441,granulomatoso
9442,Myoxocephalus aenaeus
9443,"camisa de pelo, camisa de pelo,"
9444,no armónico
9445,como un brezo
9446,Espora
9447,Autorregulación
9448,Espora
9449,"hircine,"
9450,"humanista, humanista,"
9451,hidrocefálico
9452,"hidrolizable,"
9453,agnogénico
9454,Huésped Inmunocomprometido
9455,inmunodeprimido
9456,metric
9457,metric
9458,incestuoso
9459,inductivo
9460,Información
9461,"no polar, no iónico,"
9462,hecho un flan
9463,lactogénico
9464,jabonoso
9465,Leguminosas
9466,"limacoide, limacina,"
9467,sala de estar
9468,Loopy
9469,como un pulmón
9470,"presocrático, presocrático,"
9471,"postdiluviano,"
9472,omisivo
9473,"miótico, miótico,"
9474,"ratonil, ratonil,"
9475,"mielinizado, medulado,"
9476,"amielínico,"
9477,"narcoléptico,"
9478,"neoteno, neoténico,"
9479,"tejido de orbes,"
9480,- Empaquetable
9481,paranasal
9482,paroxístico
9483,"no passerina,"
9484,operaciones de mantenimiento
9485,turboso
9486,petaloide
9487,Fagocitosis
9488,"no fotosintético,"
9489,"pictográfico,"
9490,"resistente a la penicilina,"
9491,pleomórfico
9492,políticamente correcto
9493,Políticamente incorrecto
9494,"pomposo, ceremonioso,"
9495,"posicionable,"
9496,"presintomático, preclínico,"
9497,precanceroso
9498,Vasoconstricción
9499,"prodrómico, prodrómico,"
9500,"propagativo,"
9501,pútrido
9502,rabioso
9503,"andrajoso,"
9504,"refractivo, refractario,"
9505,"parecido a la resina,"
9506,"viscosa, nerviosa,"
9507,monogastrico
9508,ruritano
9509,escaleno
9510,Caspa
9511,"autoinducido,"
9512,Túbulos seminíferos
