,SynsetTerms
344,"vexing, vexatious, teasing, plaguy, plaguey, pestiferous, pestering, pesky, nettlesome, irritating, galling, bothersome, annoying,"
345,"harsh, abrasive,"
346,"trying, stressful, nerve-wracking, nerve-racking,"
347,"unsweet,"
348,"watchful, alert,"
349,"wakeful, vigilant, open-eyed, argus-eyed,"
350,"fly,"
351,"wide-awake, heads-up,"
352,"sleepless, lidless,"
353,"unwatchful, unvigilant, unalert,"
354,"transferrable, transferable, negotiable, conveyable, assignable,"
355,"unalienable, inalienable,"
356,"inviolable, infrangible, absolute,"
357,"non-negotiable,"
358,"untransferable, unassignable, nontransferable,"
359,"live, alive,"
360,"liveborn,"
361,"viable,"
362,"dead,"
363,"gone, departed, deceased, at rest, at peace, asleep,"
364,"exsanguinous, exsanguine, bloodless,"
365,"pulseless, inanimate, breathless,"
366,"cold,"
367,"deathly, deathlike,"
368,"doomed,"
369,"fallen,"
370,"late,"
371,"lifeless, exanimate,"
372,"nonviable,"
373,"stillborn,"
374,"stone-dead,"
375,"eccrine,"
376,"subartesian,"
377,"live,"
378,"living,"
379,"dead,"
380,"out, extinct,"
381,"lifeless,"
382,"analphabetic,"
383,"precocial,"
384,"selfless, altruistic,"
385,"self-centred, self-centered, egoistical, egoistic, egocentric,"
386,"self-involved, self-absorbed,"
387,"ambiguous,"
388,"double-barrelled, double-barreled,"
389,"oracular, enigmatic,"
390,"left-handed,"
391,"multivalent, multi-valued,"
392,"uncertain,"
393,"unambiguous,"
394,"monosemous,"
395,"ambitious,"
396,"pushy, pushful,"
397,"wishful, aspiring, aspirant,"
398,"driven, determined, compulsive,"
399,"would-be, manque,"
400,"overambitious,"
401,"unambitious, ambitionless,"
402,"shiftless,"
403,"ametropic,"
404,"generous,"
405,"stingy, scrimpy, meagre, meagerly, meager,"
406,"spare, scanty, bare,"
407,"exiguous,"
408,"hand-to-mouth,"
409,"hardscrabble,"
410,"anabolic,"
411,"katabolic, catabolic,"
412,"stigmatic, anastigmatic,"
413,"analytical, analytic,"
414,"uninflected, analytic,"
415,"inflectional,"
416,"derivational,"
417,"angry,"
418,"provoked, aggravated,"
419,"maddened, infuriated, furious, enraged, angered,"
420,"black,"
421,"irascible, choleric,"
422,"hot under the collar,"
423,"sore, mad, huffy,"
424,"umbrageous, outraged, indignant, incensed,"
425,"ireful, irate,"
426,"livid,"
427,"smouldering, smoldering,"
428,"wrothful, wroth, wrathful,"
429,"unangry,"
430,"resentful,"
431,"bitter, acrimonious,"
432,"rancorous,"
433,"unresentful,"
434,"unbitter,"
435,"sentient, animate,"
436,"sensate,"
437,"insentient, insensate,"
438,"unfeeling,"
439,"nonliving, non-living, inanimate,"
440,"animated, alive,"
441,"spirited, enlivened,"
442,"vital, lively, full of life,"
443,"revived, reanimated,"
444,"unanimated,"
445,"lifeless,"
446,"wan,"
447,"enlivened,"
448,"perked up,"
449,"unenlivened,"
450,"anonymous, anon.,"
451,"postmortem, postmortal,"
452,"prevenient, anticipatory,"
453,"preexisting, preexistent, pre-existing, pre-existent,"
454,"decurved,"
455,"preceding,"
456,"above,"
457,"above-named, above-mentioned,"
458,"consecutive, back-to-back,"
459,"precedented,"
460,"unexampled, new,"
461,"nonprehensile,"
462,"prenatal, antepartum, antenatal,"
463,"postpartum, postnatal,"
464,"retrograde,"
465,"anterograde,"
466,"appealable,"
467,"unappealable,"
468,"unappendaged,"
469,"appetizing, appetising,"
470,"savoury, savory, mouth-watering,"
471,"unappetizing, unappetising,"
472,"accessible,"
473,"unapproachable,"
474,"standoffish, offish,"
475,"pat,"
476,"inappropriate,"
477,"unbefitting,"
478,"wrong, improper,"
479,"payable, collectible, collectable,"
480,"overdue, delinquent,"
481,"undue,"
482,"due,"
483,"undue,"
484,"apropos,"
485,"pertinent, apt, apposite,"
486,"malapropos,"
487,"out of place, inapposite,"
488,"a priori,"
489,"a posteriori,"
490,"apteral,"
491,"porticoed, amphistylar, amphiprostyle, amphiprostylar,"
492,"pseudoprostyle, prostyle,"
493,"nonarbitrable,"
494,"columned,"
495,"columnar,"
496,"colonnaded,"
497,"pillared,"
498,"uncolumned, noncolumned,"
499,"astylar,"
500,"unpillared,"
501,"nonarboreal,"
502,"sandy, sandlike, arenaceous,"
503,"clayey, argillaceous,"
504,"armed,"
505,"unarmed,"
506,"barehanded,"
507,"clean,"
508,"defenseless, defenceless,"
509,"armoured, armored,"
510,"steel-plated, armour-plated, armour-clad, armor-plated, armor-clad,"
511,"bony-plated,"
512,"bulletproof,"
513,"mailed, mail-clad,"
514,"armed,"
515,"thorny, spiny, setose, setaceous, prickly, burry, burred, bristly, bristled, briery, briary, barbellate, barbed,"
516,"bristlelike,"
517,"brushlike,"
518,"thistlelike,"
519,"taloned, clawed,"
520,"unarmed,"
521,"thornless, spineless,"
522,"armlike,"
523,"armoured, armored,"
524,"bone-covered,"
525,"unarmoured, unarmored,"
526,"scaleless,"
527,"artful,"
528,"wily, tricky, tricksy, sly, slick, knavish, guileful, foxy, dodgy, cunning, crafty,"
529,"precious, cute,"
530,"scheming, designing,"
531,"deep,"
532,"elusive,"
533,"manipulative,"
534,"pawky,"
535,"artless,"
536,"careless,"
537,"articulate,"
538,"smooth-spoken, silver-tongued, silver, fluent, facile, eloquent,"
539,"speech-endowed,"
540,"unarticulate, inarticulate,"
541,"aphasic,"
542,"voiceless, aphonic,"
543,"tongue-tied, incoherent,"
544,"wordless, unspoken, tongueless, mute,"
545,"speechless, dumb,"
546,"unarticulated,"
547,"speaking,"
548,"tongued,"
549,"walk-on, nonspeaking,"
550,"articulated, articulate,"
551,"unarticulated,"
552,"unjointed,"
553,"ashamed,"
554,"shamed, dishonored, disgraced, discredited,"
555,"mortified, humiliated, embarrassed,"
556,"shamefaced, shamed, hangdog, guilty,"
557,"sheepish, shamefaced,"
558,"unashamed,"
559,"insolent, brazen-faced, brazen, brassy, bodacious, barefaced, bald-faced, audacious,"
560,"unblushing, shameless,"
561,"unembarrassed, unabashed,"
562,"self-assertive, self-asserting, assertive,"
563,"cocky,"
564,"forceful, emphatic,"
565,"unassertive,"
566,"nonassertive,"
567,"self-effacing, retiring, reticent,"
568,"associatory, associative,"
569,"associable,"
570,"nonassociative,"
571,"committed, attached,"
572,"betrothed, bespoken,"
573,"uncommitted, unattached,"
574,"unpromised, unpledged, unengaged,"
575,"affixed,"
576,"unaffixed, loose,"
577,"stalkless, sessile,"
578,"stalked, pedunculate,"
579,"sessile,"
580,"unattached, free-swimming,"
581,"separate, freestanding,"
582,"unstuck,"
583,"attachable,"
584,"bondable, bindable,"
585,"clip-on,"
586,"detachable,"
587,"clastic,"
588,"wary,"
589,"upon one's guard, on your guard, on one's guard, on guard,"
590,"shy,"
591,"unwary,"
592,"gullible,"
593,"unguarded,"
594,"attentive,"
595,"wrapped, intent, enwrapped, engrossed, captive, absorbed,"
596,"heedful, advertent,"
597,"observant,"
598,"oversolicitous,"
599,"solicitous,"
600,"inattentive,"
601,"scatty, abstracted, absentminded, absent,"
602,"distrait, distracted,"
603,"woolgathering, moony, dreamy,"
604,"yawning, oscitant, drowsy,"
605,"oblivious, forgetful,"
606,"attractive,"
607,"fascinating, entrancing, enthralling, enchanting, captivating, bewitching,"
608,"magnetic, charismatic,"
609,"cute, cunning,"
610,"dinky,"
611,"piquant, engaging,"
612,"winning, taking, fetching,"
613,"showy, glossy,"
614,"spellbinding, mesmerizing, mesmeric, hypnotic,"
615,"irresistible,"
616,"personable,"
617,"photogenic,"
618,"prepossessing,"
619,"winsome,"
620,"unattractive,"
621,"plain, homely,"
622,"subfusc,"
623,"unpresentable, unprepossessing,"
624,"repulsive,"
625,"appealing,"
626,"catchy, attention-getting,"
627,"attractive,"
628,"unappealing,"
629,"off-putting,"
630,"unattractive,"
631,"attributable,"
632,"referable, imputable, due, ascribable,"
633,"unattributable, unascribable,"
634,"nonpregnant,"
635,"hearable, audible,"
636,"unhearable, inaudible,"
637,"voiceless, breathed,"
638,"infrasonic,"
639,"unsounded, silent,"
640,"ultrasonic, supersonic,"
641,"unheard,"
642,"auspicious,"
643,"promising, hopeful, bright,"
644,"rosy, fortunate,"
645,"unfortunate, inauspicious,"
646,"unpromising,"
647,"propitious,"
648,"prosperous, lucky, golden, favourable, favorable,"
649,"gracious,"
650,"unpropitious,"
651,"ominous, inauspicious, ill,"
652,"thunderous,"
653,"authorized, authorised,"
654,"glorified, canonized, canonised,"
655,"unauthorized, unauthorised,"
656,"unlicensed, unlicenced, unaccredited,"
657,"unconstitutional,"
658,"self-induced,"
659,"semiautomatic, self-loading, autoloading,"
660,"smart,"
661,"manual,"
662,"available,"
663,"accessible,"
664,"acquirable,"
665,"addressable,"
666,"easy,"
667,"forthcoming,"
668,"procurable, obtainable, gettable, getable,"
669,"lendable,"
670,"visible,"
671,"on hand,"
672,"open,"
673,"unavailable,"
674,"untouchable, unprocurable, unobtainable, inaccessible,"
675,"out of stock,"
676,"awake,"
677,"watchful, sleepless, insomniac,"
678,"wide-awake, unsleeping,"
679,"waking, wakeful,"
680,"sound asleep, fast asleep,"
681,"somnolent, slumbrous, slumbery, slumberous,"
682,"unawakened,"
683,"astringent,"
684,"styptic, hemostatic,"
685,"nonastringent,"
686,"cognizant, cognisant, aware,"
687,"awake, alive, alert,"
688,"conscious,"
689,"sensible,"
690,"unaware, incognizant,"
691,"unmindful, oblivious,"
692,"unconscious,"
693,"unsuspecting,"
694,"witting,"
695,"unwitting,"
696,"alarming,"
697,"dismaying, appalling,"
698,"ugly, horrifying, horrible, frightful, atrocious,"
699,"terrible, horrific, horrendous, frightening, fearsome, fearful, dreadful, dreaded, dread, direful, dire, awful,"
700,"threatening, sinister, ominous, minatory, minacious, menacing, forbidding, baleful,"
701,"nightmarish, hair-raising, bloodcurdling,"
702,"shuddery, shivery, scary, scarey, chilling,"
703,"creepy-crawly, creepy,"
704,"unnerving, redoubtable, formidable,"
705,"sick, macabre, gruesome, grisly, grim, ghastly,"
706,"hairy,"
707,"petrifying,"
708,"stupefying,"
709,"terrifying, terrific,"
710,"unalarming,"
711,"reassuring,"
712,"soothing, assuasive,"
713,"assuring,"
714,"consoling, consolatory, comforting,"
715,"worrisome, unreassuring,"
716,"leading,"
717,"hardcover, hardbound, hardbacked, hardback,"
718,"high-backed,"
719,"low-backed,"
720,"spiny-backed,"
721,"backless,"
722,"reverse, inverse,"
723,"retrograde, retral,"
724,"reversive, returning,"
725,"headlong, headfirst,"
726,"reverse,"
727,"backward,"
728,"blate, bashful,"
729,"forward,"
730,"nervy, cheeky, brash,"
731,"self-assertive, bumptious,"
732,"overfamiliar,"
733,"wise, smart, saucy, sassy, overbold, impudent, impertinent, fresh,"
734,"presumptuous, assumptive, assuming,"
735,"unbalconied,"
736,"unbarrelled, unbarreled,"
737,"beaked,"
738,"beaklike,"
739,"duckbill, duck-billed,"
740,"stout-billed,"
741,"beakless,"
742,"double-bedded,"
743,"bedless,"
744,"unbeneficed,"
745,"sheetlike,"
746,"unstratified,"
747,"ferny, ferned,"
748,"braky,"
749,"ferny, fernlike,"
750,"fernless,"
751,"grass-covered,"
752,"sedgelike, rushlike,"
753,"sedgy,"
754,"grassless,"
755,"ungusseted,"
756,"hairless,"
757,"bald-pated, bald-headed, bald,"
758,"balding,"
759,"smooth-faced, beardless,"
760,"depilous,"
761,"glabrescent,"
762,"glabrous,"
763,"hirsute, hairy, haired,"
764,"hoary, canescent,"
765,"coarse-haired, coarse-furred,"
766,"dark-haired, dark-coated,"
767,"sericeous, pubescent, puberulent, downy,"
768,"furlike,"
769,"fuzzy, fuzzed,"
770,"woolly, lanate,"
771,"pappose,"
772,"pilous, pilose, pilary,"
773,"smooth-haired,"
774,"soft-haired,"
775,"stiff-haired,"
776,"thick-haired,"
777,"velvety-haired, velvety-furred,"
778,"wooly-haired, wooly, woolly-haired, woolly,"
779,"awnless,"
780,"supporting, load-bearing,"
781,"beautiful,"
782,"beauteous,"
783,"sightly, fair, comely, bonny, bonnie,"
784,"dishy,"
785,"exquisite,"
786,"well-favoured, well-favored, handsome, good-looking, fine-looking, better-looking,"
787,"splendiferous, splendid, resplendent, glorious,"
788,"gorgeous,"
789,"lovely,"
790,"picturesque,"
791,"pretty,"
792,"pretty-pretty,"
793,"pulchritudinous,"
794,"ravishing,"
795,"scenic,"
796,"stunning,"
797,"ugly,"
798,"disfigured,"
799,"fugly,"
800,"monstrous, grotesque,"
801,"repulsive, hideous,"
802,"scrofulous,"
803,"unpicturesque, unlovely,"
804,"unsightly,"
805,"bellied,"
806,"flat-bellied, bellyless,"
807,"unbanded,"
808,"banded,"
809,"beltlike, belt-like,"
810,"unbelted, beltless,"
811,"beneficent,"
812,"benefic,"
813,"maleficent,"
814,"baneful, baleful,"
815,"malign, malevolent, malefic, evil,"
816,"malicious,"
817,"vindictive, spiteful, despiteful,"
818,"leering,"
819,"malevolent,"
820,"beady-eyed,"
821,"catty, cattish, bitchy,"
822,"vicious, venomous, poisonous,"
823,"venomed,"
824,"vixenish,"
825,"unmalicious,"
826,"benignant, benign,"
827,"kindly,"
828,"malign,"
829,"cancerous,"
830,"best,"
831,"top-quality, top-grade, high-grade,"
832,"world-class, foremost, first,"
833,"optimum, optimal,"
834,"primo,"
835,"record-breaking,"
836,"second-best,"
837,"superfine,"
838,"unsurpassed, unexcelled, unexceeded,"
839,"unsurpassable,"
840,"worst,"
841,"bottom,"
842,"lowest, last-place, last,"
843,"pessimum, pessimal,"
844,"better,"
845,"amended,"
846,"finer,"
847,"improved,"
848,"worse,"
849,"worsened,"
850,"better,"
851,"healthier, fitter,"
852,"worsened, worse,"
853,"bettering,"
854,"meliorative, amelioratory, ameliorative, ameliorating,"
855,"corrective,"
856,"remedial,"
857,"worsening,"
858,"baby-faced,"
859,"bald-faced,"
860,"featured,"
861,"long-faced,"
862,"pug-faced,"
863,"sad-faced,"
864,"sweet-faced,"
865,"faceless,"
866,"anonymous,"
867,"bibless,"
868,"deep-lobed,"
869,"two-lobed,"
870,"five-lobed,"
871,"palmately-lobed,"
872,"bimodal,"
873,"two-eared,"
874,"nordic,"
875,"brunette, brunet,"
876,"blemished,"
877,"pustulate, pimply, pimpled, acned,"
878,"blotchy,"
879,"flyblown,"
880,"scarred, marred,"
881,"pockmarked, pocked,"
882,"unmutilated, unmarred, unblemished,"
883,"untarnished, untainted, unsullied, unstained, stainless,"
884,"bloody,"
885,"gory, bloodstained,"
886,"sanguinary, bloody-minded, bloodthirsty,"
887,"violent, red, crimson,"
888,"murderous, homicidal,"
889,"slaughterous, sanguineous, sanguinary, gory, butcherly,"
890,"internecine,"
891,"bloodless,"
892,"bold,"
893,"unfearing, intrepid, hardy, fearless, dauntless, brave, audacious,"
894,"temerarious, daredevil,"
895,"emboldened,"
896,"reckless, rash, heady, foolhardy,"
897,"heroical, heroic,"
898,"nervy,"
899,"vaulting, overreaching,"
900,"overvaliant,"
901,"timid,"
902,"bashful,"
903,"coy,"
904,"trepid, timorous, fearful,"
905,"intimidated,"
906,"mousy, mousey,"
907,"unbound,"
908,"untied, unshackled, unfettered, unchained,"
909,"untethered,"
910,"untied, unfastened,"
911,"intermeshed, enmeshed,"
912,"rootbound,"
913,"untangled,"
914,"brassbound,"
915,"well-bound,"
916,"unbound,"
917,"looseleaf,"
918,"sawtoothed-edged,"
919,"spiny-edged,"
920,"non-u,"
921,"materialistic, conservative, bourgeois,"
922,"quality,"
923,"tweedy,"
924,"wellborn,"
925,"courageous, brave,"
926,"heroic, desperate,"
927,"gallant,"
928,"spunky, spirited, mettlesome, gritty, gamy, gamey, game,"
929,"lionhearted,"
930,"stouthearted, stalwart,"
931,"undaunted,"
932,"valorous, valiant,"
933,"fearful, cowardly,"
934,"caitiff,"
935,"yellow-bellied, yellow, white-livered, lily-livered, chickenhearted, chicken,"
936,"recreant, craven,"
937,"dastardly, dastard,"
938,"timid, fainthearted, faint-hearted, faint,"
939,"funky,"
940,"poltroon,"
941,"unmanly, pusillanimous, poor-spirited,"
942,"plucky, gutsy,"
943,"gutless,"
944,"sweet-breathed,"
945,"dyspnoeic, dyspnoeal, dyspneic, dyspneal, breathless,"
946,"asphyxiating,"
947,"suffocative, suffocating, smothering,"
948,"noncrystalline,"
949,"uncrystallized, uncrystallised, amorphous,"
950,"light,"
951,"bright,"
952,"candescent,"
953,"lighting-up,"
954,"livid,"
955,"luminescent,"
956,"phosphorescent,"
957,"sunstruck, sunlit,"
958,"dark,"
959,"stygian, acherontic, acheronian,"
960,"aphotic,"
961,"pitch-dark, pitch-black, black,"
962,"caliginous,"
963,"cimmerian,"
964,"crepuscular,"
965,"darkling,"
966,"darkling,"
967,"subdued, dim,"
968,"twilit, twilight, dusky,"
969,"sulky, gloomy, glooming, gloomful,"
970,"unlit, unlighted, unilluminated, lightless,"
971,"semidark,"
972,"tenebrous, tenebrious, tenebrific,"
973,"umbrageous, shady, shadowy, shadowed,"
974,"unshaded,"
975,"unshadowed,"
976,"unshaded,"
977,"moonless,"
978,"bridgeable,"
979,"unbridgeable,"
980,"bright,"
981,"nitid, gleaming, agleam,"
982,"luminous, lucent, lambent, aglow,"
983,"refulgent, radiant, effulgent, beamy, beaming,"
984,"glary, glaring, fulgent, dazzling, blinding, blazing,"
985,"bright as a new penny,"
986,"brilliant,"
987,"ardent,"
988,"glimmery,"
989,"shiny, shining, sheeny, lustrous, glossy, glistening,"
990,"lurid,"
991,"noctilucent,"
992,"slick, sleek, silky, silklike, silken, satiny,"
993,"shimmery,"
994,"silvery, silvern, silver,"
995,"twinkling,"
996,"dull,"
997,"matted, matte, matt, mat, flat,"
998,"lustreless, lusterless, lacklustre, lackluster,"
999,"subdued, soft,"
1000,"dimmed, dim,"
1001,"undimmed, bright,"
1002,"homophobic,"
1003,"jaundiced,"
1004,"loaded,"
1005,"unprejudiced, impartial,"
1006,"nonracist, colour-blind, color-blind,"
1007,"broad-minded,"
1008,"tolerant, liberal, large-minded, broad,"
1009,"catholic,"
1010,"undogmatical, undogmatic, latitudinarian, free-thinking,"
1011,"open-minded,"
1012,"narrow-minded, narrow,"
1013,"closed-minded, close-minded,"
1014,"dogmatical, dogmatic,"
1015,"intolerant, illiberal,"
1016,"self-opinionated, opinionative, opinionated,"
1017,"small-minded, petty,"
1018,"broken,"
1019,"unkept, broken,"
1020,"unbroken, kept,"
1021,"broken,"
1022,"dotted, dashed,"
1023,"halting,"
1024,"solid,"
1025,"interred, inhumed, buried,"
1026,"unburied,"
1027,"busy,"
1028,"toiling, labouring, laboring, drudging,"
1029,"occupied, engaged,"
1030,"overbusy,"
1031,"up to,"
1032,"idle,"
1033,"bone-lazy, bone-idle,"
1034,"lackadaisical,"
1035,"leisured,"
1036,"unengaged,"
1037,"bonelike,"
1038,"strong-boned,"
1039,"boneless,"
1040,"unfastened, unbuttoned,"
1041,"open-collared,"
1042,"capitalistic, capitalist,"
1043,"cacophonous, cacophonic,"
1044,"scratchy, rough, raspy, rasping, gravelly, grating,"
1045,"husky, hoarse, gruff,"
1046,"jarring,"
1047,"strident, raucous,"
1048,"euphonous, euphonious,"
1049,"golden,"
1050,"silvery, silvern,"
1051,"calculable,"
1052,"incalculable,"
1053,"indeterminable,"
1054,"calm,"
1055,"unruffled, tranquil, still, smooth, quiet, placid,"
1056,"settled,"
1057,"windless,"
