,0
8663,reposado
8664,"revitalizado, refrescado, vigorizado, fresco,"
8665,"incansable, incansable, incansable,"
8666,AceptableThe quality of music
8667,"soportable, soportable, soportable, soportable,"
8668,"tolerante, resistente,"
8669,"insoportable, insoportable, intolerable,"
8670,amarga
8671,"insufrible, inaceptable, insufrible, imposible,"
8672,"no soportable,"
8673,tolerancia
8674,unbigoted
8675,Intolerante
8676,intolerante
8677,"estricto, rígido,"
8678,Matizado
8679,"sin clave, atonal,"
8680,"dentado,"
8681,como un diente
8682,dentudo
8683,sin dientes
8684,Boca Desdentada
8685,coronamiento
8686,"<g id=""Bold""><g id=""Underline""><g id=""Italic"">superior</g></g></g>"
8687,"más abajo, más abajo, más abajo,"
8688,Inferior
8689,bajo
8690,transversal
8691,"de lado, lateral,"
8692,topless
8693,fondo
8694,"de fondo redondo, de fondo redondo,"
8695,descendente
8696,ascendente
8697,ecuatorial
8698,Sucesión intestada
8699,ab intestato
8700,intacto
8701,dura
8702,"gomoso, cartilaginoso, cartilaginoso,"
8703,correosa
8704,"incontrolable, fibroso, vigoroso, fibroso,"
8705,enternecida
8706,"cortable, masticable,"
8707,"escamoso, escamoso,"
8708,"endurecido, duro,"
8709,"engrosado, calloso, insensible,"
8710,"endurecido, endurecido, endurecido,"
8711,"curtido por el clima,"
8712,"sin tocar, tierno,"
8713,"suave, delicado,"
8714,dura
8715,"belicoso, duro, duro,"
8716,"poco sentimental, de mente dura,"
8717,enternecida
8718,protector
8719,Sentimental
8720,"tóxicos,"
8721,"cianogénico, cianogenético,"
8722,"virulento, venenoso, mortal,"
8723,hepatotóxico
8724,nefrotóxicos
8725,"tóxico, venenoso,"
8726,"no tóxico, atóxico,"
8727,"antitóxico,"
8728,"no venenoso, no venenoso,"
8729,"no venenosa,"
8730,"tratable, manipulable,"
8731,"maleable, dúctil,"
8732,"enseñable, dócil,"
8733,"domesticable, domesticable,"
8734,intratable
8735,reacio
8736,"terco, refractario,"
8737,"incontrolable, incontrolable,"
8738,inconcebible
8739,"rastreable, rastreable,"
8740,Untraceable
8741,"sin viajar, sin viajar,"
8742,"no atravesado,"
8743,"recortado, cortado,"
8744,Cortado
8745,"sin recortar, sin cortar,"
8746,Desabrochado
8747,afligido
8748,"molesto, molestado, acosado, acosado, molesto,"
8749,"inquieto, intranquilo, mareado, nervioso, ansioso,"
8750,"tempest-tost, tempest-tost, tempest-barrida, tormenta-sacudida, azotado,"
8751,cuidadoso
8752,"cargados, cargados de cuidados,"
8753,Turbia
8754,"preocupado, molesto, perturbado, angustiado, inquieto,"
8755,"de mala manera, en apuros, en apuros, angustiados,"
8756,Tenso
8757,"atormentado, abrumado, abrumado,"
8758,embrujada
8759,"mothy,"
8760,"estresado, angustiado,"
8761,luchando
8762,sufrimiento
8763,"turbulento,"
8764,tranquilo
8765,"despreocupado, despreocupado,"
8766,deshacer
8767,sin sueños
8768,libre de problemas
8769,indiferente
8770,inalterado
8771,"sin ser molestado,"
8772,verdadero
8773,"real, literal, genuino, actual,"
8774,"apodíctico, apodeíctico,"
8775,veraz
8776,seguro
8777,falso
8778,mendaz
8779,"espurio, engañoso,"
8780,"inventados,"
8781,Untrue
8782,"confiado, confiado,"
8783,confiar
8784,"desprevenido, desprevenido,"
8785,desconfiado
8786,"misántropo, misántropo, cínico,"
8787,"escéptico, escéptico, cuestionando, dudando,"
8788,"demasiado celoso, celoso, de ojos verdes,"
8789,"cauteloso, desconfiado, desconfiado, desconfiado, receloso,"
8790,demasiado sospechoso
8791,"confiable, digno de confianza,"
8792,"confiable, auténtico,"
8793,"responsable, solvente,"
8794,"verdadero, confiable, honesto, confiable,"
8795,"fiducial,"
8796,"confiable, seguro,"
8797,"desconfiado, indigno de confianza,"
8798,"furtivo, tortuoso,"
8799,"complicado, resbaladizo,"
8800,Neumático Run Flat
8801,desabrochado
8802,Unturned
8803,típico
8804,"típico, ejemplar, emblemático,"
8805,"verdadero, regular,"
8806,verdadero
8807,"atípico, atípico,"
8808,"no representativo,"
8809,"sumergible, sumergible,"
8810,"no sumergible, no sumergible,"
8811,Llanto
8812,"natación, líquido,"
8813,"ojos llorosos, ojos llorosos, llorosos,"
8814,"resoplando, resoplando, olfateando,"
8815,Llanto
8816,"sin lágrimas, ojos secos,"
8817,seco
8818,cerrado
8819,Ausencia de unión
8820,"desorganizado, desorganizado, no sindicalizado, no sindicalizado,"
8821,uníparas
8822,multípara
8823,"hermanamiento, bíparo,"
8824,bipolar
8825,Jano
8826,Relator
8827,"coalescente, coalescente,"
8828,cohesivo
8829,amarrado
8830,indiviso
8831,"no particionado,"
8832,bífido
8833,"de dientes, puntiagudos,"
8834,desgarrado
8835,trífido
8836,de dos puntas
8837,"bivalvo, bivalvo,"
8838,"ascendente, ascendente, ascendente,"
8839,"cayendo, cayendo,"
8840,lluvia
8841,subiendo
8842,"arriba, mejorando,"
8843,caídas
8844,"abajo,"
8845,"blando,"
8846,Clímax
8847,Decepcionante
8848,Bien suntuario
8849,Escala
8850,"mercado bajo,"
8851,intransitivo
8852,traducible
8853,intraducible
8854,"ungulados, ungulados, pezuñas, pezuñas,"
8855,de pezuña sólida
8856,"unguiculado, unguiculado,"
8857,como garra
8858,hacia arriba
8859,hacia abajo
8860,establecer
8861,débil
8862,mal utilizado?
8863,cuando se abusa de ella.
8864,"victimizado, victimizado, usado, engañado, mal usado, explotado,"
8865,"reutilizable, reciclable, recuperable,"
8866,se le puede dar servicio
8867,utilitario
8868,aprovechable
8869,inútil
8870,"inútil, inútil, ineficaz, inútil,"
8871,inutil
8872,"inutilizable, inutilizable, inservible,"
8873,Utopía
8874,"ventoso, visionario, laputano, poco práctico, aireado,"
8875,Distopía
8876,válido
8877,.
8878,"sano, legal, eficaz,"
8879,validado
8880,nevalid
8881,"incobrable, malo,"
8882,"erróneo, falaz,"
8883,falso
8884,"anulado, invalidado,"
8885,"nulo, nulo,"
8886,"sofista, sofista,"
8887,blue-chip
8888,"invaluable, invaluable,"
8889,precioso
8890,rico
8891,sin valor
8892,"de pinzón,"
8893,"lo siento, no es bueno, no cuenta, no cuenta, no tiene mérito, no sirve para nada, no sirve para nada,"
8894,manky
8895,"insignificante, insignificante, insignificante,"
8896,"ineficaz,"
8897,"desperdiciado, superfluo, sin sentido, sin propósito, sin sentido, inútil,"
8898,"basura, basura,"
8899,"de poca monta,"
8900,sin valor
8901,variable
8902,covariante
8903,cambio de marcha
8904,variación
8905,Versátil
8906,"invariable,"
8907,"invariable, invariante, constante, inmutable,"
8908,"estricto, duro y rápido,"
8909,invariable.
8910,variado
8911,"multifacético, variado, multifacético,"
8912,"variable, variable,"
8913,"versátil, variado,"
8914,"invariable, invariable,"
8915,revelado
8916,"aireado, aireado,"
8917,"De rejilla,"
8918,sin ventilación
8919,"sin aire, congestionado, cerca, sin aire,"
8920,"viciado,"
8921,"no oxigenado, no aireado,"
8922,sin ventilación
8923,"invertebrado, sin espinas,"
8924,"violable,"
8925,"inviolable,"
8926,"intocable, inexpugnable,"
8927,violento
8928,convulsivo
8929,"salvaje, furioso, feroz, feroz,"
8930,"furioso, caliente,"
8931,"knockdown-dragout, knock-down-and-drag-out,"
8932,ataduras (físicas)
8933,pavoroso
8934,"furioso,"
8935,"rudo, rufián,"
8936,"golpe,"
8937,No violento
8938,"pacífico, pasivo,"
8939,virtuoso
8940,Impecable.
8941,"sin pecado, inocente, impecable,"
8942,mecha
8943,"vicioso, malvado,"
8944,"atroz, abominable,"
8945,"impío, pecador, inicuo,"
8946,"irreformable, irredimible, irredimible, irrecuperable,"
8947,"villano, nefasto,"
8948,"peccant, pecable,"
8949,"visible, visible,"
8950,"visual, ocular,"
8951,Visualizable
8952,"invisible, invisible,"
8953,"fuera de la vista, oculto, oculto,"
8954,sin luz
8955,"no visual,"
8956,escondido
8957,Indetectable
8958,"unseeyn,"
8959,"vivíparos, con vida,"
8960,Incubación
8961,"no volatilizable, no volatilizable, no volátil,"
8962,"voluntad,"
8963,Libre albedrío
8964,Autoimpuesto
8965,"dispuesto, no forzado, sin coacción,"
8966,"voluntario, no remunerado,"
8967,"involuntario, involuntario, involuntario,"
8968,forzado
8969,Pérdida de conciencia
8970,"involuntario,"
8971,reacio
8972,"reflexiva, reflex, automática,"
8973,vegetativo
8974,vulnerable
8975,"indefenso, indefendible, abierto, asaltable,"
8976,Transigente
8977,"indefenso, indefenso,"
8978,en peligro
8979,indefendible
8980,"inseguro, inseguro,"
8981,"penetrable,"
8982,"lo amenazó,"
